t   m
0.	0.00024
0.01	0.00055
0.02	0.00091
0.03	0.00221
0.04	0.0042
0.05	0.00642
0.06	0.00924
0.07	0.01286
0.08	0.01788
0.09	0.02381
0.1	0.03049
0.11	0.03787
0.12	0.0475
0.13	0.05622
0.14	0.06883
0.15	0.07959
0.16	0.09328
0.17	0.10719
0.18	0.12109
0.19	0.13075
0.2	0.13803
0.21	0.14671
0.22	0.15482
0.23	0.15888
0.24	0.16094
0.25	0.16059
0.26	0.16063
0.27	0.15994
0.28	0.15428
0.29	0.14728
0.3	0.1387
0.31	0.13004
0.32	0.12148
0.33	0.10786
0.34	0.0935
0.35	0.07983
0.36	0.06835
0.37	0.05619
0.38	0.04696
0.39	0.03781
0.4	0.02994
0.41	0.024
0.42	0.01714
0.43	0.01334
0.44	0.00937
0.45	0.00637
0.46	0.00461
0.47	0.00194
0.48	0.0003
0.49	0.00003
0.5	0.00013
0.51	0.00016
0.52	0.00076
0.53	0.00161
0.54	0.00231
0.55	0.00417
0.56	0.00735
0.57	0.00912
0.58	0.01255
0.59	0.0154
0.6	0.01793
0.61	0.02192
0.62	0.02405
0.63	0.02802
0.64	0.03019
0.65	0.03404
0.66	0.03673
0.67	0.03999
0.68	0.04374
0.69	0.08069
0.7	0.15208
0.71	0.24952
0.72	0.35499
0.73	0.45212
0.74	0.50989
0.75	0.52789
0.76	0.5101
0.77	0.45321
0.78	0.35556
0.79	0.24876
0.8	0.15236
0.81	0.08005
0.82	0.04435
0.83	0.03955
0.84	0.03628
0.85	0.0334
0.86	0.03025
0.87	0.02726
0.88	0.0245
0.89	0.02223
0.9	0.01713
0.91	0.01533
0.92	0.01208
0.93	0.0084
0.94	0.00711
0.95	0.00489
0.96	0.00293
0.97	0.00154
0.98	0.00072
0.99	0.00048
1.	0.00048

