t   m
0.	0.000093
0.01	0.000978
0.02	0.002983
0.03	0.005973
0.04	0.010804
0.05	0.016648
0.06	0.023237
0.07	0.031445
0.08	0.041166
0.09	0.050681
0.1	0.062152
0.11	0.074194
0.12	0.089954
0.13	0.109595
0.14	0.134592
0.15	0.16396
0.16	0.201066
0.17	0.24309
0.18	0.292761
0.19	0.349813
0.2	0.414452
0.21	0.487186
0.22	0.569932
0.23	0.66216
0.24	0.764272
0.25	0.878352
0.26	0.765214
0.27	0.661646
0.28	0.569932
0.29	0.487696
0.3	0.414384
0.31	0.349556
0.32	0.292822
0.33	0.243264
0.34	0.200003
0.35	0.164826
0.36	0.134065
0.37	0.10975
0.38	0.089954
0.39	0.074343
0.4	0.061659
0.41	0.050974
0.42	0.041214
0.43	0.031685
0.44	0.023617
0.45	0.016223
0.46	0.010851
0.47	0.00588
0.48	0.002516
0.49	0.000512
0.5	0.
0.51	0.000791
0.52	0.002656
0.53	0.006207
0.54	0.01118
0.55	0.016837
0.56	0.024188
0.57	0.03298
0.58	0.041939
0.59	0.051657
0.6	0.062694
0.61	0.07559
0.62	0.091725
0.63	0.111192
0.64	0.136121
0.65	0.166452
0.66	0.202916
0.67	0.245771
0.68	0.294835
0.69	0.351677
0.7	0.416636
0.71	0.489521
0.72	0.571585
0.73	0.662503
0.74	0.765308
0.75	0.878039
0.76	0.764555
0.77	0.663445
0.78	0.571664
0.79	0.489594
0.8	0.416772
0.81	0.352257
0.82	0.295568
0.83	0.245771
0.84	0.203141
0.85	0.166778
0.86	0.136121
0.87	0.111347
0.88	0.091067
0.89	0.07539
0.9	0.062497
0.91	0.051608
0.92	0.041843
0.93	0.032452
0.94	0.024236
0.95	0.017073
0.96	0.011556
0.97	0.006207
0.98	0.003029
0.99	0.001304
1.  0.
